Name,Longitude location of institution,Latitude location of institution,search_url,image,url
California Baptist University,-117.42587,33.928569,http://api.duckduckgo.com/?q=California+Baptist+University%20wikipedia&format=json,,
California Institute of Technology,-118.12574,34.139275,http://api.duckduckgo.com/?q=California+Institute+of+Technology%20wikipedia&format=json,,
California Lutheran University,-118.879467,34.225551,http://api.duckduckgo.com/?q=California+Lutheran+University%20wikipedia&format=json,,
California Polytechnic State University-San Luis Obispo,-120.65856,35.29889,http://api.duckduckgo.com/?q=California+Polytechnic+State+University-San+Luis+Obispo%20wikipedia&format=json,,
Alliant International University,-117.094398,32.897056,http://api.duckduckgo.com/?q=Alliant+International+University%20wikipedia&format=json,,
California State University-Bakersfield,-119.104711,35.350005,http://api.duckduckgo.com/?q=California+State+University-Bakersfield%20wikipedia&format=json,,
California State University-Stanislaus,-120.852511,37.52577,http://api.duckduckgo.com/?q=California+State+University-Stanislaus%20wikipedia&format=json,,
California State University-San Bernardino,-117.322508,34.182987,http://api.duckduckgo.com/?q=California+State+University-San+Bernardino%20wikipedia&format=json,,
California State Polytechnic University-Pomona,-117.819019,34.054273,http://api.duckduckgo.com/?q=California+State+Polytechnic+University-Pomona%20wikipedia&format=json,,
California State University-Chico,-121.846333,39.728003,http://api.duckduckgo.com/?q=California+State+University-Chico%20wikipedia&format=json,,
California State University-Dominguez Hills,-118.259316,33.86524,http://api.duckduckgo.com/?q=California+State+University-Dominguez+Hills%20wikipedia&format=json,,
California State University-Fresno,-119.748258,36.814477,http://api.duckduckgo.com/?q=California+State+University-Fresno%20wikipedia&format=json,,
California State University-Fullerton,-117.885349,33.883627,http://api.duckduckgo.com/?q=California+State+University-Fullerton%20wikipedia&format=json,,
California State University-East Bay,-122.058073,37.65707,http://api.duckduckgo.com/?q=California+State+University-East+Bay%20wikipedia&format=json,,
California State University-Long Beach,-118.1123,33.782752,http://api.duckduckgo.com/?q=California+State+University-Long+Beach%20wikipedia&format=json,,
California State University-Los Angeles,-118.168965,34.066927,http://api.duckduckgo.com/?q=California+State+University-Los+Angeles%20wikipedia&format=json,,
California State University-Northridge,-118.526817,34.23671,http://api.duckduckgo.com/?q=California+State+University-Northridge%20wikipedia&format=json,,
California State University-Sacramento,-121.42194,38.55745,http://api.duckduckgo.com/?q=California+State+University-Sacramento%20wikipedia&format=json,,
University of California-Berkeley,-122.260401,37.871519,http://api.duckduckgo.com/?q=University+of+California-Berkeley%20wikipedia&format=json,,
University of California-Davis,-121.751958,38.539895,http://api.duckduckgo.com/?q=University+of+California-Davis%20wikipedia&format=json,,
University of California-Irvine,-117.841248,33.648434,http://api.duckduckgo.com/?q=University+of+California-Irvine%20wikipedia&format=json,,
University of California-Los Angeles,-118.443901,34.068892,http://api.duckduckgo.com/?q=University+of+California-Los+Angeles%20wikipedia&format=json,,
University of California-Riverside,-117.331098,33.97588,http://api.duckduckgo.com/?q=University+of+California-Riverside%20wikipedia&format=json,,
University of California-San Diego,-117.237793,32.876598,http://api.duckduckgo.com/?q=University+of+California-San+Diego%20wikipedia&format=json,,
University of California-Santa Barbara,-119.848031,34.415402,http://api.duckduckgo.com/?q=University+of+California-Santa+Barbara%20wikipedia&format=json,,
University of California-Santa Cruz,-122.067993,36.997258,http://api.duckduckgo.com/?q=University+of+California-Santa+Cruz%20wikipedia&format=json,,
California Maritime Academy,-122.231551,38.069061,http://api.duckduckgo.com/?q=California+Maritime+Academy%20wikipedia&format=json,,
Chapman University,-117.851481,33.793678,http://api.duckduckgo.com/?q=Chapman+University%20wikipedia&format=json,,
Concordia University-Irvine,-117.81063,33.6535,http://api.duckduckgo.com/?q=Concordia+University-Irvine%20wikipedia&format=json,,
San Diego Christian College,-116.903073,32.799999,http://api.duckduckgo.com/?q=San+Diego+Christian+College%20wikipedia&format=json,,
